pretty_formula,e_above_hull,energy_per_atom,formation_energy_per_atom
Cd3InAu12,0,-2.927633953,-0.128769255
LaCdAu2,0,-3.76441645,-0.661854206
LaCdAu,0,-3.713004849,-0.667526684
La2CdAu2,0,-4.217263422,-0.745636495
Li2CdAu,0,-2.427222643,-0.426099109
LiCdAu2,0,-2.7145711,-0.371987109
LiCd2Au,0,-2.093812295,-0.340998335
MgCdAu2,0,-2.673946355,-0.407271786
Na6Cd16Au7,0,-1.798140817,-0.23165805
CdPd2Au,0,-3.93335566,-0.294909381
Cd2RhAu,0,-3.235933195,-0.120861245
CdSnAu,0,-2.930121487,-0.197472727
SrCdAu,0,-2.571567051,-0.613395763
YCdAu,0,-4.217412716,-0.665435054
YCdAu2,0,-4.153801175,-0.671364309
ZnCdAu2,0,-2.38631123,-0.202513695
ZrCdAu2,0,-4.45592188,-0.453450561
CsGa2Au3,0,-3.10385615,-0.305306088
CsGa9Au5,0,-3.228871528,-0.2555673
Cs3Pb4Au,0,-2.870362113,-0.267833913
CsRb2Au7,0,-2.853489086,-0.268973451
Cs4Sn2Au7,0,-3.019078828,-0.363920638
Cu2PdAu,0,-4.277986125,-0.114231835
Sc2CuAu,0,-5.55067627,-0.539799903
Zn2CuAu,0,-2.629725874,-0.150035774
HfGaAu,0,-5.93028736,-0.508516255
In(GaAu)2,0,-3.311299873,-0.236509038
K4GaAu8,0,-2.931706287,-0.341776551
La2Ga7Au,0,-4.024601525,-0.581579537
Li2GaAu,0,-3.040623523,-0.508875218
LiGaAu2,0,-3.301687188,-0.428478425
MgGaAu2,0,-3.223448594,-0.426149254
MgGaAu,0,-3.072242043,-0.433781083
Ga40Mo8Au,0,-4.466517409,-0.146886867
RbGa2Au3,0,-3.132466071,-0.313725606
Sr(GaAu)2,0,-3.454840556,-0.593228382
Sr2(GaAu2)3,0,-3.478584514,-0.557992036
YGaAu,0,-5.056244525,-0.796767168
ZrGaAu,0,-5.546915162,-0.594058535
HfZnAu2,0,-4.879647358,-0.435967063
LaHgAu2,0,-3.567919428,-0.61811816
