pretty_formula,e_above_hull,energy_per_atom,formation_energy_per_atom
ZrBi,0,-6.595612063,-0.372728615
Ca3Cd2,0,-1.862672083,-0.294880312
CaCd2,0,-1.617585167,-0.340041136
CaCd,0,-1.825067215,-0.366118346
CaCd6,0,-1.272675105,-0.202450889
CaCu,0,-3.198966977,-0.147739151
Ca2Cu,0,-2.812320827,-0.110447815
CaCu5,0,-3.870783615,-0.12084616
CaGa,0,-2.988380348,-0.468181936
Ca3Ga5,0,-3.157056729,-0.507599561
Ca28Ga11,0,-2.60489712,-0.310072952
CaGa4,0,-3.187834792,-0.357415364
CaGa2,0,-3.20750536,-0.514961939
CaHg3,0,-1.117274236,-0.388715553
CaHg2,0,-1.32012891,-0.449947483
CaHg,0,-1.714228205,-0.560801289
Ca3Hg2,0,-1.793794835,-0.470420626
Ca2Hg,0,-1.838341463,-0.401669058
CaIn,0,-2.842446605,-0.464935745
Ca2In,0,-2.622419018,-0.36969065
CaIn2,0,-2.929553487,-0.427260135
Ca8In3,0,-2.533094582,-0.325741666
CaIr2,0,-7.02887263,-0.451933576
Ca5Ir,0,-3.37989435,-0.23328705
Li2Ca,0,-1.955674851,-0.015971957
CaMg2,0,-1.851753195,-0.114475428
CaMg149,0,-1.629260219,-0.022266403
CaNi5,0,-5.258674398,-0.107252126
CaNi2,0,-4.710607927,-0.188837433
Ca2Pb,0,-3.128243282,-0.554447613
CaPb,0,-3.378727505,-0.519615694
CaPb3,0,-3.61723507,-0.330149044
CaPd2,0,-4.826672393,-0.703872506
CaPd,0,-4.2725849,-0.679694139
CaPd5,0,-5.022234808,-0.369525795
Ca5Pd2,0,-3.412617244,-0.501038217
Ca3Pd,0,-3.239884746,-0.441857674
Ca3Pd2,0,-3.915713693,-0.640768407
Ca3Pt2,0,-4.484776175,-0.860146586
CaPt5,0,-5.911867858,-0.530649878
Ca5Pt2,0,-3.869124024,-0.707770494
CaPt2,0,-5.64634142,-0.940734359
CaRh2,0,-5.98702839,-0.414637523
Ca5Rh,0,-3.126971122,-0.231500868
CaSn,0,-3.654308453,-0.648028039
Ca31Sn20,0,-3.445570795,-0.655648957
CaSn3,0,-3.898935935,-0.391097006
Ca2Sn,0,-3.322631813,-0.650723743
CaTl3,0,-2.51676835,-0.240571688
CaTl,0,-2.62876179,-0.443576221
CaZn2,0,-1.814434113,-0.298161769
CaZn11,0,-1.495120264,-0.161432059
Ca5Zn3,0,-1.922470036,-0.193182862
CaZn5,0,-1.614850085,-0.2203005
CaZn,0,-1.882549163,-0.244554059
CsCd13,0,-0.975188966,-0.061836347
HfCd,0,-5.525276785,-0.09077691
Hf2Cd,0,-7.006724823,-0.065636442
Cd41Ir8,0,-2.273541172,-0.060995791
KCd13,0,-0.992663959,-0.063958178
K3Cd16,0,-1.052560013,-0.106941453
LaCd,0,-3.25849261,-0.327182603
LaCd2,0,-2.63086866,-0.371750537
La13Cd58,0,-1.941943935,-0.288745257
LaCd11,0,-1.420520878,-0.169690581
Li3Cd,0,-1.838664873,-0.179001796
LiCd3,0,-1.347471101,-0.184427173
LiCd,0,-1.665426593,-0.25407309
MgCd3,0,-1.151486291,-0.064351785
MgCd,0,-1.364782303,-0.105247645
Mg3Cd,0,-1.513710593,-0.081775784
MgCd2,0,-1.229198955,-0.084597732
Mg149Cd,0,-1.62484909,-0.025111467
Na3Cd,0,-1.260414559,-0.047287319
Na26Cd141,0,-1.062786381,-0.08611019
NaCd3,0,-1.100360458,-0.086161808
CdNi,0,-3.369211451,-0.021307248
CdPd3,0,-4.377281088,-0.261633894
CdPd,0,-3.45994844,-0.411272193
Cd53Pd16,0,-2.157856311,-0.253467745
CdPt3,0,-4.97301167,-0.201706406
CdPt,0,-3.809005968,-0.32322434
Cd3Pt,0,-2.396492135,-0.196234144
RbCd13,0,-0.984138443,-0.062132794
ScCd3,0,-2.49150384,-0.221653234
ScCd7,0,-1.708540078,-0.116247597
ScCd,0,-3.9173133,-0.292346443
SrCd2,0,-1.52097554,-0.349164293
SrCd,0,-1.635910445,-0.335560753
SrCd11,0,-1.116952786,-0.137949208
SrCd6,0,-1.228698983,-0.203788817
Ti2Cd,0,-5.63767875,-0.068015729
YCd,0,-4.048291365,-0.357232113
YCd3,0,-2.60262881,-0.299732006
YCd2,0,-3.105559503,-0.339941883
ZrCd,0,-4.84711298,-0.115984823
Zr2Cd,0,-6.121681223,-0.118421798
ZrCd3,0,-2.92986708,-0.106935824
CrCo3,0,-7.747198296,-0.005526576
Fe3Co,0,-8.16741629,-0.045044553
Fe11Co5,0,-8.09378716,-0.055780206
Fe9Co7,0,-7.932992434,-0.063715046
FeCo,0,-7.84468719,-0.059774585
Ga3Co,0,-4.31548461,-0.260060945
GaCo,0,-5.34992954,-0.27631565
HfCo,0,-8.931203515,-0.399073648
HfCo2,0,-8.426104563,-0.368019872
Hf2Co7,0,-7.99535928,-0.253304706
Hf2Co,0,-9.298526396,-0.292351353
In3Co,0,-3.852460249,-0.011067912
La3Co,0,-5.576453719,-0.088040889
La2Co3,0,-6.325998323,-0.080847455
LaCo13,0,-6.986038008,-0.030480003
MgCo2,0,-5.302016963,-0.027242416
Mn3Co,0,-8.660450981,-0.013515451
Co3Mo,0,-8.092414545,-0.044333025
Nb6Co7,0,-8.653311402,-0.157250217
NbCo3,0,-8.008571085,-0.147790538
Co3Ni,0,-6.799625195,-0.021860927
CoPt,0,-6.671439205,-0.088027585
CoPt3,0,-6.3836087,-0.06348844
Co3Pt,0,-6.942462938,-0.095759958
CoRe3,0,-11.17079187,-0.060400386
Sc3Co,0,-6.747733591,-0.218835486
ScCo,0,-7.08648075,-0.3638839
ScCo2,0,-7.202438027,-0.35070868
